hardware_name,unit_cost,default_qty
051-15142-002,0.35,1
051-15148-011,0.2,1
1/4-20 HELI-COIL,0.34,1
1/4-28 HELI-COIL,0.35,1
10-24 HELI-COIL,0.34,1
10-32 HELI-COIL,0.35,1
1185-04CNW-280,0.33,1
1185-06CN0138,0.0,1
1185-2CNW-492,0.267,1
1191-3CNW-285,0.203,1
1191-4CNW-250,0.834,1
125-06-4.25,4.0,1
1590B-11,0.26,1
1590C-11,0.26,1
18185B-B-1032-14,8.8,1
18185B-B-1032-14,4.74,1
18185B-B-1032-14,2.14,1
19882BB-0470-14,0.426,1
23S094-0375,0.015,1
322401-05,0.099,1
322680-21,0.74,1
43-13-1-24,0.2,1
47-10-102-10,5.1,1
47-10-202-51,1.45,1
47-10-202-51,0.901,1
47-61-210-50,0.993,1
47-63-221-20,1.6,1
47-80-122-14,1.45,1
47-80-602-10,2.75,1
47-82-602-10,1.75,1
5/16-18 HELI-COI,0.45,1
5/16-24 HELI-COI,0.45,1
51-28-506-24,1.43,1
51-28-506-24,1.46,1
512-2437-077,0.028,1
57-10-801-10,3.0,1
57-10-801-10,4.0,1
6-32 HELI-COIL,0.34,1
68-224-000,0.8,1
7300-B-440-B-5,1.05,1
7585K11,0.2,1
79NCFMA1-26,1.0,1
79NCFMA2-40,0.75,1
8-32 HELI-COIL,0.36,1
82-12-340-16,0.72,1
82-19-260-16,0.9,1
82-19-300-16,0.9,1
82-32-201-20,0.15,1
82-35-307-55,1.77,1
82-35-309-56,1.7,1
82-35-315-55,1.8,1
82-45-101-15,1.4,1
82-45-101-15,1.4,1
82-46-101-39,0.2,1
82-56-161-60,3.35,1
91270A320,0.15,1
92985A750,0.68,1
94674A490,0.225,1
AC-440-1,0.49,1
AC-440-2,0.36228,1
AC-632-1,0.465,1
AC-632-2,0.6218,1
AC-832-2,0.52,1
AC-M3-1,0.5,1
AC-M5-2,0.66,1
AEKS-420-165,0.264,1
AKS4-420-165,0.264,1
AL6314B-1.000,0.84,1
AS-032-2,0.334,1
AS-440-1,0.278,1
AS-440-2,0.29968,1
AS-632-1,0.33672,1
AS-632-2,0.24816,1
AS-832-2,0.27632,1
AS-M3-2,0.288,1
B-632-2,0.161,1
B-832-2,0.167,1
B1537B-5/16-11,0.28,1
BACN10JR06CFD,1.66666666666667,1
BACN10KJ06CD,12.35,1
BACN10KJ06CD,8.35,1
BR6911-B-0-250-4,1.39,1
BS-032-2,0.332,1
BS-832-2,0.322,1
BS0-632-12,0.12289,1
BS0-632-32,0.27731,1
BS0S-3.5M3-10,0.237,1
BS0S-632-20,0.268,1
BS0S-632-26,0.297,1
BSO-032-16,0.272,1
BSO-632-10,0.118,1
BSO-632-20,0.18584,1
BSO-632-20,0.175,1
BSO-632-22,0.18445,1
BSO-632-24,0.23939,1
BSO-632-26,0.225,1
bso-832-14,0.2,1
BSO-832-20,0.265,1
BSO-M3-10,0.21,1
BSO-M3-12,0.2,1
BSO-M3-14,0.24,1
BSO-M3-18,0.265,1
BSO-M3-8,0.2,1
BSOA-632-14,0.154,1
BSOA-632-16,0.147,1
BSOA-632-18,0.162,1
BSOA-632-20,0.177,1
BSOA-M3-6,0.2,1
BSOA-M3-8,0.19,1
BSOA-M4-26,0.5,1
BSOS-032-12,0.308,1
BSOS-032-14,0.26897,1
BSOS-440-10,0.16752,1
BSOS-440-14,0.173,1
BSOS-440-16,0.22322,1
BSOS-440-18,0.2492,1
BSOS-440-20,0.235,1
BSOS-440-22,0.268,1
BSOS-440-24,0.26136,1
BSOS-440-24,0.277,1
BSOS-440-28,0.42,1
BSOS-440-34,0.4173,1
BSOS-440-6,0.172,1
BSOS-632-10,0.19158,1
BSOS-632-12,0.21773,1
BSOS-632-14,0.198,1
BSOS-632-16,0.23436,1
BSOS-632-16,0.198,1
BSOS-632-18,0.266,1
BSOS-632-20,0.275,1
BSOS-632-22,0.29912,1
BSOS-632-24,0.30726,1
BSOS-632-32,0.601,1
BSOS-632-34,0.36055,1
BSOS-6440-10,0.21,1
BSOS-6440-12,0.21829,1
BSOS-6440-20,0.2813,1
BSOS-6440-24,0.31541,1
BSOS-832-12,0.302,1
BSOS-832-16,0.337,1
BSOS-832-24,0.434,1
BSOS-832-28,0.5053,1
BSOS-832-30,0.512,1
BSOS-832-34,0.585,1
BSOS-8632-12,0.22407,1
BSOS-8632-34,0.766,1
BSOS-M3-10,0.206,1
BSOS-M3-25,0.41114,1
BSOS-M4-20,0.506,1
BSOS-M4-8,0.254,1
C-440-2,0.028,1
C-632-1,0.025,1
C-632-2,0.025,1
CFE 1032,0.36,1
CFHC-032-16,0.19386,1
CFHC-632-4,0.086,1
CFHC-632-6,0.59,1
CFHC-832-4,0.11627,1
CFHC-M4-10,0.135,1
CFHC-M5-10,0.145,1
CFL-632-1,0.068,1
CFL-632-1,0.068,1
CFN-440-1Z,0.12043,1
CFSO-440-10,0.069,1
CFSO-6440-8,0.086,1
CFSOSG-8632-8,0.201,1
CH-632-6,0.022,1
CKFSE-632-12,0.23248,1
CLA-032-2,0.07,1
CLA-440-2,0.065,1
CLA-632-1,0.0642,1
CLA-632-2,0.0642,1
CLA-832-2,0.15,1
CLA-M3-2,0.07,1
CLA-M3.5-2,0.076,1
CLA-M4-2,0.075,1
CLA-M6-1,0.15,1
CLS-032-2,0.1,1
CLS-0420-1,0.208,1
CLS-0420-2,0.212,1
CLS-0420-3,0.215,1
CLS-0428-3,0.243,1
CLS-0518-2,0.338,1
CLS-440-0,0.08196,1
CLS-440-1,0.078,1
CLS-440-2,0.08,1
CLS-440-3,0.079,1
CLS-632-0,0.09,1
CLS-632-2,0.085,1
CLS-632-3,0.1,1
CLS-832-0,0.10016,1
CLS-832-1,0.102,1
CLS-832-2,0.114,1
CLS-832-3,0.0988,1
CLS-M3-1,0.072,1
CLS-M3-2,0.04879,1
CLS-M3-2,0.06,1
CLS-M3.5-2,0.1,1
CLS-M4-0,0.17,1
CLS-M4-1,0.07,1
CLS-M4-2,0.074,1
CLS-M6-1,0.26747,1
CLS-M6-2,0.2284,1
CLS-M8-2,0.51,1
CLSS-032-2,0.12433,1
CLSS-032-2,0.10412,1
CLSS-032-3,0.142,1
CLSS-M5-1,0.09323,1
CLSS-M5-2,0.12433,1
CLSS-M5-2,0.12869,1
CPL-440,0.11,1
CSOS-632-3,0.28486,1
CSOS-632-4,0.25014,1
CSOS-632-6,3.1,1
CSOS-632-8,0.42046,1
CSS-440-3,0.268,1
CSS-440-4,0.23891,1
CSS-440-8,0.28637,1
CSS-632-3,0.257,1
CSS-632-4,0.21685,1
DKS-420-165,0.264,1
DSO-440-250,0.9,1
DSOS-440-250,0.12212,1
DSOS-440-250,0.18,1
F-032-1,0.14043,1
F-032-2,0.14515,1
F-0420-5,0.27,1
F-256-1,0.12,1
F-440-1,0.092,1
F-440-2,0.096,1
F-632-1,0.1,1
F-632-2,0.079,1
F-832-1,0.103,1
F-832-2,0.13757,1
F-832-2,0.12104,1
F-M3-1,0.105,1
F-M3-2,0.115,1
F-M4-1,0.137,1
F-M4-2,0.119,1
F-M5-1,0.14046,1
F5-60-406-20,0.89,1
F5-60-606-20,0.9,1
F5-832-18,1.19,1
F5-832-18,1.45,1
F5-832-18,0.3,1
FE-032,0.209,1
FE-440,0.1485,1
FE-632,0.15,1
FE-832-EF,0.21468,1
FEO-440,0.19,1
FEO-440,0.14758,1
FEO-632,0.185,1
FEO-M3,0.147,1
FEO-M4,0.197,1
FEOX-440,0.2,1
FEOX-440,0.16,1
FEOX-632,0.166,1
FEOX-832,0.17962,1
FEOX-832,0.17962,1
FEX 440,0.134,1
FEX-032,0.171,1
FEX-440,0.134,1
FEX-440,0.134,1
FEX-632,0.115,1
FEX-832,0.156,1
FH-032-10,0.046,1
FH-032-12,0.03276,1
FH-032-16,0.03805,1
FH-032-20,0.04,1
FH-032-6,0.037,1
FH-032-8,0.03493,1
FH-0420-12,0.06414,1
FH-0420-16,0.12,1
FH-0420-8,0.05612,1
FH-160-4,0.03737,1
FH-256-10,0.023,1
FH-256-4,0.035,1
FH-440-4,0.02387,1
FH-440-5,0.02715,1
FH-440-6,0.05,1
FH-632-10,0.02994,1
FH-632-4,0.029,1
FH-632-5,0.027,1
FH-632-6,0.02299,1
FH-632-8,0.0266,1
FH-832-12,0.033,1
FH-832-5,0.03059,1
FH-832-8,0.04,1
FH-M4-10,0.04,1
FH-M4-12,0.025,1
FH-M4-15,0.04,1
FH-M4-18,0.038,1
FH-M4-8,0.0414,1
FH-M5-10,0.05,1
FH-M5-12,0.03598,1
FH-M5-15,0.035,1
FH-M5-20,0.0454,1
FH-M5-8,0.075,1
FH-M8-35,0.17,1
FH4-032-6,0.068,1
FH4-032-8,0.075,1
FH4-0420-16,0.13811,1
FH4-832-8,0.07,1
FHA-032-10,0.057,1
FHA-440-5,0.03762,1
FHA-440-6,0.3253,1
FHA-440-8,0.03,1
FHA-632-10,0.064,1
FHA-632-6,0.045,1
FHA-632-8,0.05,1
FHA-832-8,0.04033,1
FHL-632-6,0.029,1
FHP-440-10,0.19,1
FHP-440-12,0.19,1
FHP-832-6,0.38,1
FHS-024-8,0.053,1
FHS-024-8,0.05873,1
